 2016978 2M19275725+3725189 4733.7  78.9  0.072 0.028  0.029 0.012  75.363 0.009  7.225 0.004 RGB      1.0324 0.0004 1.178 0.04  0.038  7.285 0.015 0.014 2.784 0.005 0.007 4.296E-03 0.008 0.007 3.804  0.064  -0.062 0.419 0.08
 2017541 2M19282778+3725510 4208.9  52.2  0.141 0.021  0.02  0.011   9.483 0.021  1.439 0.02  RGB      1.0438 0.0005 1.197 0.102 0.044 21.324 0.045 0.017 1.858 0.009 0.007 1.742E-04 0.039 0.008 3.803  0.165  -0.144 0.376 0.086
 2018283 2M19290899+3726467 4798.5  85.1  0.222 0.027 -0.006 0.011 137.63  0.013 11.164 0.004 RGB      1.0228 0.0003 1.333 0.049 0.033  5.715 0.017 0.011 3.049 0.007 0.007 1.007E-02 0.008 0.007 3.655  0.076  -0.075 0.444 0.084
 2018392 2M19291520+3729271 4664.   69.1 -0.082 0.03   0.015 0.013  33.451 0.009  3.782 0.004 RGB      1.0359 0.0005 1.323 0.039 0.042 11.632 0.014 0.016 2.428 0.005 0.007 1.185E-03 0.008 0.007 3.594  0.062  -0.06  0.407 0.071
 2018537 2M19292262+3728081 4835.7  75.9  0.256 0.028 -0.001 0.01  181.667 0.011 13.747 0.01  RGB      1.0192 0.0003 1.368 0.058 0.03   5.03  0.025 0.01  3.171 0.006 0.007 1.516E-02 0.021 0.006 3.622  0.095  -0.091 0.451 0.074
 2140446 2M19034433+3734348 4549.9  63.8  0.302 0.023  0.014 0.01   57.261 0.012  5.676 0.004 RGB      1.0352 0.0008 1.264 0.045 0.04   8.745 0.016 0.015 2.656 0.006 0.007 2.666E-03 0.008 0.007 3.762  0.07   -0.065 0.265 0.069
 2141255 2M19045244+3731146 4902.   83.  -0.194 0.036  0.031 0.015 147.331 0.009 12.336 0.004 RGB      1.0208 0.0004 1.141 0.04  0.032  5.085 0.015 0.011 3.083 0.005 0.007 1.224E-02 0.008 0.007 3.772  0.069  -0.064 0.197 0.079
 2141652 2M19051923+3731392 4939.   81.   0.153 0.031 -0.003 0.011                            REJECT                                                                                                                               No Seis
 2141928 2M19054142+3731262 4684.2  69.5  0.167 0.027  0.005 0.011  34.301 0.016  4.067 0.019 RC       1.0006 0.0133 1.233 0.107 0.077 11.08  0.05  0.023 2.44  0.007 0.01  1.279E-03 0.047 0.008 3.617  0.117  -0.123 0.208 0.074
 2141932 2M19054160+3732430 4399.6  59.2  0.291 0.021  0.025 0.01   24.469 0.011  3.001 0.008 RGB      1.0432 0.0003 1.163 0.049 0.043 12.943 0.02  0.016 2.28  0.006 0.007 7.567E-04 0.015 0.008 3.887  0.077  -0.075 0.288 0.069
 2142095 2M19055465+3735053 4877.3  79.2 -0.32  0.038  0.041 0.016  29.186 0.009  3.713 0.007 RC(S)    1.0026 0.0263 1.153 0.114 0.08  11.497 0.055 0.024 2.379 0.005 0.01  1.070E-03 0.054 0.008 3.576  0.133  -0.121 0.276 0.076
 2155869 2M19214745+3730572 4740.7  74.5  0.195 0.027 -0.005 0.011  93.505 0.012  8.134 0.004 RGB      1.0272 0.0003 1.432 0.047 0.037  7.209 0.017 0.013 2.878 0.006 0.007 5.390E-03 0.008 0.007 3.542  0.074  -0.072 0.281 0.076
 2156178 2M19220462+3731316 4870.7  79.3 -0.494 0.042  0.184 0.018  28.743 0.024  3.868 0.017 RC       0.9908 0.03   0.978 0.158 0.08  10.673 0.074 0.024 2.372 0.011 0.01  1.134E-03 0.069 0.008 3.729  0.178  -0.166 0.078 0.079
 2157059 2M19225665+3732517 4401.9  77.5 -0.153 0.025  0.149 0.017  23.573 0.009  3.003 0.005 RGB      1.0433 0.0003 1.038 0.042 0.043 12.452 0.016 0.016 2.264 0.005 0.007 7.579E-04 0.009 0.008 3.928  0.066  -0.063 0.244 0.088
 2157650 2M19232744+3734298 4832.1  81.7  0.156 0.029 -0.006 0.011 138.603 0.009 11.338 0.004 RGB      1.0227 0.0003 1.293 0.04  0.033  5.601 0.015 0.011 3.053 0.005 0.007 1.038E-02 0.008 0.007 3.684  0.062  -0.061 0.351 0.079
 2157901 2M19234174+3735179 4753.3  73.  -0.117 0.032  0.083 0.013  29.559 0.033  3.831 0.015 RC       0.9904 0.0306 1.067 0.17  0.079 11.063 0.076 0.024 2.379 0.014 0.01  1.112E-03 0.068 0.008 3.7    0.194  -0.169 0.296 0.075
 2158410 2M19241257+3731545 4943.3 100.5  0.136 0.03  -0.009 0.013  47.468 0.037  4.29  0.008 RC(S)    1.0003 0.011  2.865 0.128 0.071 14.164 0.047 0.02  2.593 0.016 0.009 1.422E-03 0.027 0.008 2.672  0.131  -0.045 0.39  0.094
 2159864 2M19253124+3733144 4910.8  98.5 -0.097 0.033  0.    0.015  77.292 0.009  6.965 0.004 RGB      1.0256 0.0005 1.595 0.044 0.038  8.296 0.016 0.014 2.803 0.006 0.007 3.940E-03 0.008 0.007 3.284  0.069  -0.064 0.489 0.093
 2160901 2M19262385+3732227 4668.4  68.7  0.241 0.025  0.015 0.01   58.706 0.009  5.67  0.004 RGB      1.0328 0.0004 1.434 0.038 0.04   9.142 0.014 0.015 2.673 0.005 0.007 2.648E-03 0.008 0.007 3.554  0.061  -0.059 0.414 0.071
 2161409 2M19264805+3733467 4814.9  89.4  0.097 0.029 -0.002 0.013  99.226 0.012  8.596 0.004 RGB      1.026  0.0004 1.411 0.047 0.036  6.919 0.017 0.013 2.907 0.006 0.007 6.006E-03 0.008 0.007 3.536  0.074  -0.071 0.713 0.087
 2161831 2M19270967+3731187 4899.7  80.8 -0.271 0.038  0.079 0.015 144.986 0.009 12.411 0.004 RGB      1.0213 0.0004 1.059 0.04  0.032  4.937 0.015 0.011 3.076 0.005 0.007 1.240E-02 0.008 0.007 3.863  0.064  -0.062 0.49  0.077
 2163856 2M19285446+3733268 5069.2 114.5 -0.03  0.035  0.056 0.015  71.198 0.015  6.096 0.01  RC(S)    0.9831 0.0041 2.641 0.07  0.06  11.033 0.028 0.015 2.774 0.008 0.008 2.773E-03 0.021 0.008 2.76   0.101  -0.128 0.383 0.103
 2164262 2M19291444+3732279 4685.7  75.9  0.147 0.026  0.005 0.012  60.737 0.009  5.981 0.005 RGB      1.034  0.0003 1.285 0.042 0.039  8.497 0.016 0.014 2.688 0.005 0.007 2.953E-03 0.011 0.007 3.698  0.064  -0.062 0.449 0.078
 2164327 2M19291858+3735195 4839.1  76.4  0.103 0.03  -0.023 0.011  45.293 0.019  4.672 0.008 RC       0.9981 0.0256 1.729 0.124 0.072 11.323 0.058 0.02  2.568 0.009 0.009 1.679E-03 0.054 0.008 3.221  0.13   -0.105 0.197 0.075
 2164379 2M19292074+3734149 4662.1  85.4  0.418 0.022  0.042 0.01  121.145 0.009 10.279 0.004 RGB      1.0276 0.0003 1.189 0.042 0.034  5.795 0.015 0.012 2.987 0.006 0.007 8.614E-03 0.008 0.007 3.87   0.067  -0.064 0.417 0.088
 2164874 2M19294668+3733164 4422.9  59.2  0.223 0.022 -0.012 0.01   13.003 0.053  1.792 0.017 RGB      1.04   0.0004 1.402 0.175 0.044 19.461 0.064 0.016 2.006 0.023 0.007 2.682E-04 0.035 0.008 3.587  0.29   -0.247 0.419 0.078 SeisUnc
